link_id,from_node_id,to_node_id,length,geometry
49,2,37,85.62,"LINESTRING (0.000550 0.000546, 0.000583 0.000467)"
50,32,47,86.02,"LINESTRING (0.000253 0.000250, 0.000167 0.000252)"
51,15,37,87.24,"LINESTRING (0.000624 0.000390, 0.000583 0.000467)"
52,54,55,88.02,"LINESTRING (0.000314 0.000399, 0.000226 0.000397)"
53,14,50,90.0,"LINESTRING (0.000377 0.000103, 0.000287 0.000103)"
54,52,57,91.53,"LINESTRING (0.000158 0.000378, 0.000209 0.000302)"
55,25,30,92.66,"LINESTRING (0.000417 0.000505, 0.000388 0.000593)"
56,2,41,95.13,"LINESTRING (0.000550 0.000546, 0.000455 0.000551)"
57,1,51,98.23,"LINESTRING (0.000347 0.000674, 0.000438 0.000711)"
58,36,53,101.04,"LINESTRING (0.000241 0.000549, 0.000140 0.000552)"
59,36,44,103.0,"LINESTRING (0.000241 0.000549, 0.000344 0.000549)"
60,0,51,104.01,"LINESTRING (0.000525 0.000768, 0.000438 0.000711)"
61,13,28,104.04,"LINESTRING (0.000582 0.000385, 0.000686 0.000382)"
62,11,59,104.31,"LINESTRING (0.000327 0.000109, 0.000271 0.000197)"
63,21,45,108.17,"LINESTRING (0.000082 0.000394, 0.000190 0.000400)"
64,41,44,111.02,"LINESTRING (0.000455 0.000551, 0.000344 0.000549)"
65,6,25,111.2,"LINESTRING (0.000439 0.000396, 0.000417 0.000505)"
66,13,46,113.07,"LINESTRING (0.000582 0.000385, 0.000469 0.000389)"
67,37,56,114.48,"LINESTRING (0.000583 0.000467, 0.000548 0.000576)"
68,6,29,120.93,"LINESTRING (0.000439 0.000396, 0.000454 0.000276)"
69,57,59,121.94,"LINESTRING (0.000209 0.000302, 0.000271 0.000197)"
70,16,52,123.65,"LINESTRING (0.000118 0.000261, 0.000158 0.000378)"
71,45,54,124.0,"LINESTRING (0.000190 0.000400, 0.000314 0.000399)"
72,10,49,125.2,"LINESTRING (0.000620 0.000232, 0.000495 0.000239)"
73,40,43,128.14,"LINESTRING (0.000500 0.000100, 0.000628 0.000106)"
74,33,48,134.03,"LINESTRING (0.000284 0.000248, 0.000418 0.000245)"
75,11,58,135.62,"LINESTRING (0.000327 0.000109, 0.000252 0.000222)"
76,23,34,155.26,"LINESTRING (0.000089 0.000115, 0.000244 0.000106)"
77,38,55,164.08,"LINESTRING (0.000390 0.000392, 0.000226 0.000397)"
78,19,40,173.05,"LINESTRING (0.000673 0.000104, 0.000500 0.000100)"
79,9,29,173.1,"LINESTRING (0.000460 0.000103, 0.000454 0.000276)"
80,16,31,174.38,"LINESTRING (0.000118 0.000261, 0.000161 0.000430)"
81,2,12,193.26,"LINESTRING (0.000550 0.000546, 0.000743 0.000536)"
82,10,48,202.42,"LINESTRING (0.000620 0.000232, 0.000418 0.000245)"
83,33,49,211.19,"LINESTRING (0.000284 0.000248, 0.000495 0.000239)"
84,40,50,213.02,"LINESTRING (0.000500 0.000100, 0.000287 0.000103)"
85,0,2,223.4,"LINESTRING (0.000525 0.000768, 0.000550 0.000546)"
